#,Control Identifier,Fii ID,Common Criteria,Common Criteria type,Name,Questions Descriptions
19,CC1-0019,FII-SCF-GOV-0001.1,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Example operational reports that show the operational/system performance and internal controls effectiveness,"Does management meet on a regular basis to discuss organizational goals and objectives? (This could be operations management, IT management, executive management, or a combination of these.)"
20,CC2-0001,FII-SCF-AST-0004,CC2 - Common Criteria Related to Information and Communications,CC2 Key Controls,Description of system/services,"Has management documented the description of their system for the services provided to their customers?  A system description would include the following components used to provide services to their customers:
* Infrastructure (facilities, hardware, equipment)
* Software
* People
* Procedures
* Data"
21,CC2-0002,FII-SCF-NET-0006.1,CC2 - Common Criteria Related to Information and Communications,CC2 Key Controls,Organizational structure description from the intranet site,Has management published the company's organizational structure?
22,CC2-0003,FII-SCF-PRI-0001,CC2 - Common Criteria Related to Information and Communications,CC2 Key Controls,Privacy notice posted on website and software,How are the entity's security/confidentiality responsibilities communicated to customers?
23,CC2-0004,FII-SCF-IRO-0010,CC2 - Common Criteria Related to Information and Communications,CC2 Key Controls,Customers are provided the procedures for reporting system failures and security breaches (if not in contract),How do customers report system failures and security breaches?
24,CC2-0005,FII-SCF-IRO-0001,CC2 - Common Criteria Related to Information and Communications,CC2 Key Controls,Incident Response Policies and Procedures,Has management documented a formal Incident Response Policy?
25,CC2-0006,FII-SCF-CHG-0002,CC2 - Common Criteria Related to Information and Communications,CC2 Key Controls,Employees are communicated system changes,How are system changes communicated to employees?
26,CC2-0007,FII-SCF-CHG-0005,CC2 - Common Criteria Related to Information and Communications,CC2 Key Controls,Customers are communicated system changes prior to implementing changes,How are system changes communicated to customers?
27,CC2-0008,FII-SCF-GOV-0008,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,Main product/service walk through (screen share),"Opportunity to observe and walk through product and services in scope, review data entered in the in-scope system, review data processed, and review data outputted from the in-scope system for completeness / accuracy"
28,CC2-0009,FII-SCF-AST-0004,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,Data flow diagram,"Data flow diagrams, process flow charts, and narratives identifying how data flows within the environment including the relevant information sources and systems"
29,CC2-0010,FII-SCF-MON-0001.7,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,File integrity monitoring,File integrity monitoring software configurations and example alert generated from the file integrity monitoring software
30,CC2-0011,FII-SCF-NET-0012.2,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,VPN authenication configuration,VPN authentication configurations including password settings
31,CC2-0012,FII-SCF-SAT-0001,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,Information Security Awareness Training new hire testing (sample),"For a sample of new hires, evidence that information security and awareness training was performed upon hire.  Evidence could include training completion forms, tracking tool/spreadsheet, or certificates"
32,CC2-0013,FII-SCF-SAT-0002,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,Information Security Awareness Training current employee testing (sample),"For a sample of current employees, evidence that information security and awareness training was performed annually. Evidence could include training completion forms, tracking tool/spreadsheet, or certificates"
33,CC2-0014,FII-SCF-TPM-0002,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,Policies are available to vendors/contractors,"Evidence showing key policies and procedures (e.g. Information Security, Change Management, Incident Management) were available to external parties (contractors, third parties, vendors, customers)) via company [website, shared drive, intranet, email, or contract/agreement, etc.]"
34,CC2-0015,FII-SCF-IRO-0014,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,Escalation Policy,"Copy of the Escalation policies and procedures for reporting failures, concerns, incidents, and complaints with revision history AND evidence that these escalation policies and procedures were available to external parties (contractors, third parties, vendors, customers) via company [website, shared drive, intranet, email, or contract/agreement, etc.]"
35,CC2-0016,FII-SCF-IAC-0002,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,List of new customers,Listing of new customers during the audit period
36,CC2-0017,FII-SCF-BCD-0010.1,CC2 - Common Criteria Related to Information and Communications,CC2 Supporting Controls,Contracts for new customers (sample),Contract (service agreement) for a sample of new customers
37,CC3-0001,FII-SCF-RSK-0001,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Risk Assessment/Management Policy,"Please describe your annual risk assessment process in regards to your service under review.  (i.e., Risk assessments should identify, quantify, and prioritize risks against criteria for risk acceptance and objectives relevant to the organization. The results should guide and determine the appropriate management action and priorities for managing information security risks and for implementing controls selected to protect against these risks.)"
38,CC3-0002,FII-SCF-HRS-0003,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Documented (1) compliance manager job description (2) audit manager job description and (3) risk management job description,Are there documented position descriptions for Risk Manager or Audit Manager?
39,CC3-0003,FII-SCF-BCD-0006,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,"Organizational business plans, records of budgets kept, etc.",Does entity maintain organizational business plans and budgets?
40,CC3-0004,FII-SCF-CPL-0001,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Evidence could include a report; certification; policies/procedures/ PowerPoint deck,Is entity's control framework based on a recognized (NIST 800-53; COBIT; ISO; COSA) framework?
41,CC3-0005,FII-SCF-GOV-0006,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,"Up-to-date registry of regulatory, statutory, legislative and contractual requirements.","Policies and procedures related to the relevant statutory, regulatory, legislative and contractual requirements"
42,CC3-0006,FII-SCF-HRS-0009.1,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,"Master list of system components (servers, Operating systems, databases, etc.)",Does management maintain an asset inventory?
43,CC3-0007,FII-SCF-RSK-0003,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Most recently completed risk assessment,Can management provide the most recently completed risk assessment?
44,CC3-0008,FII-SCF-RSK-0004.1,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Most recently completed fraud assessment,"Can management provide the most recently completed risk assessment that includes fraud risk factors?

including evidence that the assessment:- identifies and assesses the types of fraud that could impact business and operations  (e.g. fraudulent reporting, loss of assets, unauthorized system access, overriding con"
45,CC3-0009,FII-SCF-VPM-0006,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Most recently completed network Internal and External vulnerability scan/penetration tests reports,Are vulnerability scans or penetration testing performed on a periodic basis?
46,CC3-0010,FII-SCF-BCD-0001,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Business Continuity/Disaster Recover Plan,Is a comprehensive disaster recovery and business continuity plan in place and communicated to relevant personnel?
47,CC3-0011,FII-SCF-BCD-0002.3,CC3 - Common Criteria Related to Risk Assessment,CC3 Key Controls,Most recently completed disaster recovery tests,Is the disaster recovery program tested on a periodic basis to ensure adequate recovery?
48,CC4-0001,FII-SCF-MON-0001,CC4 - Common Criteria Related to Monitoring of Controls,CC4 Key Controls,"Monitoring system for performance, security threats, and unusual system activity","Are tools in place to monitor system performance, capacity, utilization and unusual system activity?
"
49,CC4-0002,FII-SCF-VPM-0001.1,CC4 - Common Criteria Related to Monitoring of Controls,CC4 Key Controls,Most recently completed pen test results,Are vulnerability scans or penetration testing performed on a periodic basis?
50,CC4-0003,FII-SCF-MON-0001.4,CC4 - Common Criteria Related to Monitoring of Controls,CC4 Key Controls,Example of monitoring alerts from software,Is there file integrity monitoring software in place?
51,CC5-0001,FII-SCF-RSK-0002,CC5 - Common Criteria Related to Control Activities,CC5 Key Controls,Most recently completed risk assessment,"Are controls within the environment modified and implemented to mitigate identified vulnerabilities, deviations and control gaps?"
52,CC5-0002,FII-SCF-IRO-0002,CC5 - Common Criteria Related to Control Activities,CC5 Key Controls,Sample incident response ticket,Are performance of the internal controls implemented within the environment assigned to appropriate process owners and operational personnel based on roles and responsibilities?
53,CC5-0003,FII-SCF-IRO-0001,CC5 - Common Criteria Related to Control Activities,CC5 Key Controls,Incident Response Policies and Procedures,Are incidents formally documented?
54,CC5-0004,FII-SCF-IRO-0004,CC5 - Common Criteria Related to Control Activities,CC5 Key Controls,Sample incident response ticket,Are incidents resolved in a timely manner?
55,CC5-0005,FII-SCF-IRO-0004.1,CC5 - Common Criteria Related to Control Activities,CC5 Key Controls,Incident Response Policies and Procedures,Is the resolution and closure of incidents documented and communicated to affected users?
56,CC6-0001,FII-SCF-IRO-0012,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Information security policies and procedures,"Are information security policies and procedures in place to communicate managements requirements with regards to user account security, appropriate handling of information systems data, privacy standards, etc.?"
57,CC6-0002,FII-SCF-BCD-0002,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,"Listing of all systems, DBs, and applications","Does management have a policy defining the type of system and user events that should be logged for network devices, operating systems, databases and applications?"
58,CC6-0003,FII-SCF-NET-0003,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Example network log extracts demonstrating that logging / auditing was in place for the network that supports the production systems,Are logs stored in a centralized log server and not accessible by system administrators?  How are historic log files protected from modification and/or deletion? What is your log retention requirements?
59,CC6-0004,FII-SCF-HRS-0001,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Access Control Policy,Are user access requests formally documented?
60,CC6-0005,FII-SCF-HRS-0002.1,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Sample user access provisioning ticket,Are user access requests approved? Is the approval documented?
61,CC6-0006,FII-SCF-IAC-0017,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Most recently completed user access review,"Are user access reviews performed regularly (e.g., quarterly, monthly, etc.)"
62,CC6-0007,FII-SCF-NET-0014,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Remote Access Policies and Procedures,"Provide a description of any remote access (i.e. VPN, Terminal Services, RADMIN) and the type of authentication required (two factor, RADIUS, TACAS, etc.)"
63,CC6-0008,FII-SCF-IAC-0015,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Application administrators/super users for the application that supports the production systems under review,Is the administration of remote access technologies restricted to a specific department or group?
64,CC6-0009,FII-SCF-NET-0002,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Network diagrams inclusive of all firewalls protecting the production servers under review,Do network diagrams exist that illustrate the use of firewalls?
65,CC6-0010,FII-SCF-NET-0012.2,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,firewall rule sets that demonstrate that the system is in place and configured to block certain traffic,Are appropriate firewall rulesets in place to monitor and block traffic?
66,CC6-0011,FII-SCF-CRY-0003,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,URL for customer facing web portals w/valid certificate details,Are web servers encrypted with SSL/TLS?
67,CC6-0012,FII-SCF-CRY-0005,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Encryption policies and procedures,Do formal encryption policies exist?
68,CC6-0013,FII-SCF-DCH-0010,CC6 - Common Criteria Related to Logical & Physical Access,CC6 Key Controls,Disabling of removable media devices if applicable,How are removable media devices disabled?
69,CC7-0001,FII-SCF-BCD-0011,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,Backup policies and procedures,"Are backups of critical data performed regularly (e.g., daily, weekly, monthly)?"
70,CC7-0002,FII-SCF-BCD-0011.2,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,Backup policies and procedures,Are backups replicated offsite either virtually or via tape in case of natural disaster?
71,CC7-0003,FII-SCF-BCD-0011.1,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,Evidence of successful backup restore,Are backup restoration tests performed regularly to validate data can be restored if needed?
72,CC7-0004,FII-SCF-MON-0001.5,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,Intrusion Detection System/Intrusion Prevention System,Is there an IDS or IPS in place?
73,CC8-0001,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Change control policies and procedures,Are changes formally documented?
74,CC8-0002,FII-SCF-CHG-0002.1,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,"Full population of internal changes (infrastructure, network, database, application)  during audit period","Are changes formally tested and approved, and is that testing and approval documented?"
75,CC8-0003,FII-SCF-CHG-0001,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Sample change management ticket to validate that developer did not promote change to production environment,Are changes developed and implemented to the production environment by different individuals/teams?
76,CC8-0004,FII-SCF-AST-0004,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Network diagrams,Are there separate development/test environments from the production environment?
77,CC9-0001,FII-SCF-TPM-0001,CC9 - Common Criteria Related to Risk Mitigation,CC9 Key Controls,Vendor risk assessment policies and procedures with revision history,Does a formal vendor management program exist?
78,CC9-0002,FII-SCF-HRS-0010,CC9 - Common Criteria Related to Risk Mitigation,CC9 Key Controls,Most recently completed vendor risk assessment,Does management complete annual vendor risk assessments?
79,C1.0-0001,FII-SCF-PRI-0004,C1.0 - Confidentiality,,Confidentiality policy,"Are there confidentiality policies and procedures with revision history that describe:
- defining, identifying and designating information as confidential;
- protecting confidential information from erasure or destruction;  
- storing confidential data;
- retaining confidential information for only as long as is required to achieve the purpose for which the confidential data was collected and processed
- processes in place to delete conï¬dential information in accordance with speciï¬c retention requirements"
80,C1.0-0002,FII-SCF-BCD-0002,C1.0 - Confidentiality,,Confidential Asset register,Do you maintain an inventory listing noting assets that maintain confidential data?
81,C1.0-0003,FII-SCF-PRI-0004.1,C1.0 - Confidentiality,,Population of Confidential data,"Will you be able to provide an inventory listing of confidential data within assets, including their classification and retention period?"
82,C1.0-0004,FII-SCF-PRI-0005,C1.0 - Confidentiality,,Confidential information maintenance policy,Have you documented confidential information maintenance policies and procedures?
83,C1.0-0005,FII-SCF-DCH-0022,C1.0 - Confidentiality,,Confidential data testing (sample),During the audit we will select a sample of files/documents marked as confidential and evidence of the file / directory access permissions and the list of users with access to the confidential file/document were property limited.
84,C1.0-0006,FII-SCF-DCH-0021,C1.0 - Confidentiality,,Confidential data disposal testing (sample),"During the audit we will ask for a population of confidential data that required disposal. For a sample of files/documents marked as confidential that required disposal, can you provide evidence that the file/document was disposed following the procedures documented in the Confidentiality and/or Data Disposal policies?"
85,C1.0-0007,FII-SCF-CRY-0005,C1.0 - Confidentiality,,Confidential data encryption,"Can you provide evidence that confidential information is stored in an encrypted, secure environment?"
86,A1.0-0001,FII-SCF-BCD-0012,A1.0 - Availability,,Evidence of annual backup restoration testing,Does the organization meet its availability requirements?
87,A1.0-0002,FII-SCF-MON-0001.4,A1.0 - Availability,,Evidence of hardware usage monitoring (usage alerts),Does the organization meet its availability requirements?
88,A1.0-0003,FII-SCF-TPM-0001,A1.0 - Availability,,Vendor SOC Reports,Third party data centers most recent SOC report with evidence of management review
